AC	Extrasynaptic Broadcasters	Extrasynaptic Receivers	Extrasynaptic edges in parallel with synapses	Synaptic edges from broadcasters which are to receivers
Whole	0.1111111111111111	0.9087136929460581	0.03509979353062629	0.36666666666666664
TRANSMITTERS
dopamine	0.0	0.8170731707317073	0.0265748031496063	0.35833333333333334
octopamine	1.0	1.0	0.0	0.0
serotonin	0.0	0.7560975609756098	0.06666666666666667	0.4647887323943662
tyramine	0.0	0.9385964912280702	0.04580152671755725	0.41379310344827586
RECEPTORS
dop-1	0.625	0.9444444444444444	0.008680555555555556	0.041666666666666664
dop-2	0.125	0.45	0.075	0.1
dop-3	0.25	0.9036144578313253	0.022590361445783132	0.125
dop-4	0.75	0.8	0.025	0.016666666666666666
dop-5	0.25	0.6923076923076923	0.04326923076923077	0.075
dop-6	0.25	0.75	0.0625	0.06666666666666667
lgc-53	0.625	0.8888888888888888	0.013888888888888888	0.025
lgc-55	0.0	0.7407407407407407	0.2222222222222222	0.41379310344827586
mod-1	0.3333333333333333	0.7777777777777778	0.05555555555555555	0.16901408450704225
octr-1	1.0	1.0	0.0	0.0
ser-1	0.5	0.8636363636363636	0.022727272727272728	0.04225352112676056
ser-2	1.0	1.0	0.0	0.0
ser-3	1.0	1.0	0.0	0.0
ser-4	0.6666666666666666	0.7692307692307693	0.038461538461538464	0.04225352112676056
ser-5	0.5	0.16666666666666666	0.2777777777777778	0.14084507042253522
ser-6	1.0	1.0	0.0	0.0
ser-7	0.6666666666666666	0.6923076923076923	0.10256410256410256	0.11267605633802817
tyra-2	1.0	1.0	0.0	0.0
tyra-3	1.0	1.0	0.0	0.0
